date,content,tags
"2023-09-28","Submitted the DS assignment. Felt like sending a child off to war. Hope it's okay. Immediately started on the Cloud Computing assignment – deploying a simple web app using Elastic Beanstalk. Much more straightforward, thankfully. Attended an International Students' Society event with Kenji. Tried some Irish snacks. Still finding my feet socially.","[""ucd"", ""assignments"", ""distributed systems"", ""submission"", ""relief"", ""cloud computing"", ""aws"", ""elastic beanstalk"", ""social"", ""international student"", ""kenji""]"
"2023-10-01","Feeling the pace pick up. Lectures, labs, readings, assignments... it's relentless. Machine Learning is covering linear regression, cost functions, gradient descent. The math is dense but seeing it implemented in code helps. Started looking into the UCD Careers Network resources. Need to polish my CV soon.","[""ucd"", ""study load"", ""machine learning"", ""linear regression"", ""gradient descent"", ""labs"", ""careers"", ""cv""]"
"2023-10-05","Midterm talk is starting. Need to start revising soon. Big Data concepts (HDFS, MapReduce) are clicking better now. Had a group meeting for the Text Analytics project (sentiment analysis). Group includes Aoife. Seems like a good team. Explored Dublin city centre a bit more over the weekend. Walked down Grafton Street, saw the Molly Malone statue. It's a very walkable city.","[""ucd"", ""midterms"", ""study"", ""big data"", ""hdfs"", ""mapreduce"", ""text analytics"", ""project"", ""aoife"", ""dublin"", ""exploring"", ""grafton street""]"
"2023-10-09","Received feedback on DS Assignment 1. Got a B-. Comments highlighted gaps in my understanding of edge cases in Paxos. Slightly disappointed, but it was tough. Need to work harder. Rohan got a B. We discussed the feedback, helps to learn from mistakes. Cloud assignment submitted. Weather is getting noticeably colder. Bought a warmer jacket.","[""ucd"", ""assignments"", ""grades"", ""feedback"", ""distributed systems"", ""paxos"", ""disappointment"", ""learning"", ""rohan"", ""dublin"", ""weather""]"
"2023-10-13","Attended a CV workshop by the Careers Network. Realised how different the expectations are here compared to India. Need quantifiable achievements, STAR method for examples. Started reworking my CV completely. Feels like another assignment. Looked at some job portals (LinkedIn, IrishJobs.ie) – overwhelming number of postings.","[""ucd"", ""careers"", ""cv"", ""workshop"", ""job search"", ""linkedin"", ""stress""]"
"2023-10-17","Midterm revision in full swing. Focusing on DS and ML. Library is becoming my second home. Rohan and I are quizzing each other. Found a decent coffee place on campus that helps fuel the late nights. Feeling the pressure but trying to stay organised. Cooked a big batch of dal to last a few days – survival mode cooking.","[""ucd"", ""exams"", ""midterms"", ""revision"", ""study"", ""distributed systems"", ""machine learning"", ""library"", ""rohan"", ""stress"", ""coffee"", ""food""]"
"2023-10-21","Had the DS midterm. It was tough. Lots of conceptual questions about consistency models and failure detection. Think I managed okay, but hard to say. ML midterm tomorrow. Feeling slightly better prepared for that one, practised implementing algorithms. Need a good night's sleep.","[""ucd"", ""exams"", ""midterms"", ""distributed systems"", ""stress"", ""preparation""]"
"2023-10-22","ML midterm done. Covered regression, classification basics (like SVM), gradient descent variants. Felt more manageable than DS. Now just need to get through the Big Data and Text Analytics midterms later this week. Feeling drained. Planned a weekend trip to Howth with Rohan and Kenji as a post-midterm reward.","[""ucd"", ""exams"", ""midterms"", ""machine learning"", ""relief"", ""study"", ""planning"", ""howth"", ""friends"", ""rohan"", ""kenji""]"
"2023-10-26","Finished all midterms! Cloud Computing one was online, quite practical. Text Analytics involved applying techniques like TF-IDF. Brain feels like mush. Looking forward to the Howth trip tomorrow. Need the sea air. Started tentatively applying for a couple of summer internships listed on the career portal. Just testing the waters.","[""ucd"", ""exams"", ""midterms"", ""cloud computing"", ""text analytics"", ""relief"", ""exhaustion"", ""job search"", ""internship"", ""applications"", ""howth""]"
"2023-10-27","Howth was amazing! The cliff walk offered stunning views of the Irish Sea, even with the wind. Felt refreshing to be out in nature. Had fantastic fish and chips. Good chats with Rohan and Kenji, nice to just hang out without academic pressure. Took lots of photos to send home. Definitely need to explore more of Ireland.","[""travel"", ""ireland"", ""howth"", ""cliff walk"", ""nature"", ""sea"", ""friends"", ""rohan"", ""kenji"", ""relax"", ""photography""]"
"2023-11-01","Back to the grind. Second half of the semester feels daunting. Final projects and exams loom large. Started working on the Big Data project – analysing a large dataset using Spark. Need to set up the environment first. Attended a talk by a Google engineer organised by the CS society. Inspiring but also intimidating.","[""ucd"", ""study"", ""big data"", ""spark"", ""assignments"", ""projects"", ""google"", ""tech industry"", ""inspiration"", ""stress""]"
"2023-11-05","Text Analytics group project is progressing. We're doing sentiment analysis on movie reviews. Aoife is great at structuring the report. I'm focusing on the feature engineering and model training (trying a simple Naive Bayes first). Group work requires coordination, but sharing the load helps. Still sending out internship applications – maybe 2-3 per week.","[""ucd"", ""assignments"", ""projects"", ""text analytics"", ""sentiment analysis"", ""group work"", ""aoife"", ""machine learning"", ""job search"", ""internship"", ""applications""]"
"2023-11-09","Received my first rejection email for an internship. Generic, polite. Still stings. Rohan got one too. Misery loves company, I guess. Trying to stay positive. It's a numbers game. Focused on the Cloud Computing project – building a more complex microservice architecture. Learning about Docker containers.","[""job search"", ""rejection"", ""internship"", ""disappointment"", ""rohan"", ""resilience"", ""ucd"", ""cloud computing"", ""docker"", ""microservices"", ""assignments""]"
"2023-11-13","Midterm results are out. DS: C+, ML: B, Cloud: A-, Text Analytics: B+, Big Data: B. Mixed bag. The C+ in DS hurts, need to really buckle down for the final. Happy with the A- in Cloud. Overall passing, which is the main thing, but hoped for better. Need to strategize for finals.","[""ucd"", ""results"", ""grades"", ""midterms"", ""distributed systems"", ""machine learning"", ""cloud computing"", ""text analytics"", ""big data"", ""disappointment"", ""motivation""]"
"2023-11-17","Went for a walk in Phoenix Park with Kenji. Saw the deer up close! It's such a vast green space, easy to forget you're in a city. Good way to de-stress. Talked about career plans. He's interested in game development. Started outlining the final report for the Text Analytics project.","[""dublin"", ""phoenix park"", ""nature"", ""deer"", ""relax"", ""friends"", ""kenji"", ""ucd"", ""text analytics"", ""project""]"
"2023-11-21","Feeling overwhelmed by the workload again. DS final project involves implementing a distributed key-value store. ML project is about comparing different classification algorithms. Big Data Spark project requires careful optimization. Cloud project needs documentation. And final exams are coming. Need more hours in the day.","[""ucd"", ""study load"", ""assignments"", ""projects"", ""distributed systems"", ""machine learning"", ""big data"", ""cloud computing"", ""stress"", ""time management""]"
"2023-11-25","Attended a workshop on technical interviews. Covered data structures, algorithms, Big O notation. Realised how much I need to practice LeetCode style questions for software engineering roles. Started doing one easy problem a day. It's a different kind of thinking.","[""ucd"", ""careers"", ""job search"", ""technical interview"", ""data structures"", ""algorithms"", ""big o"", ""leetcode"", ""preparation"", ""software engineer""]"
"2023-11-29","Dublin is getting festive, Christmas lights everywhere. It's pretty, but makes me miss Diwali back home intensely. Video called family, they showed me the decorations. Felt a pang of homesickness. Trying to focus on studies. Presented the Text Analytics project with the group – went smoothly.","[""dublin"", ""christmas"", ""lights"", ""homesick"", ""india"", ""diwali"", ""family"", ""ucd"", ""text analytics"", ""project"", ""presentation"", ""aoife""]"
"2023-12-03","Received another rejection. And another one. Job hunting is demoralising. Rohan suggested focusing on specific companies and networking on LinkedIn. Sent connection requests to some UCD alumni working at companies I like. Feels awkward but necessary. Spent the weekend working on the DS key-value store implementation. Debugging distributed systems is painful.","[""job search"", ""rejection"", ""internship"", ""stress"", ""demotivated"", ""linkedin"", ""networking"", ""ucd"", ""assignments"", ""distributed systems"", ""debugging""]"
"2023-12-07","Final push before exams. Submitting final projects for Cloud, Big Data, ML. Lots of late nights writing reports and checking code. The relief after each submission is immense. Now, full focus on revising for final exams. Starting with Distributed Systems – my nemesis. Booked flight home for the break! Counting down the days.","[""ucd"", ""assignments"", ""projects"", ""submission"", ""cloud computing"", ""big data"", ""machine learning"", ""relief"", ""exams"", ""revision"", ""distributed systems"", ""holidays"", ""home"", ""india""]"
"2023-12-11","Final exam week begins. DS final was as hard as expected. Lots of focus on consistency, replication, failure scenarios. Hoping I scraped a pass. Cloud Computing exam was fair, lots of scenario-based questions about AWS services. Feeling exhausted. Just want this to be over.","[""ucd"", ""exams"", ""final exams"", ""distributed systems"", ""stress"", ""cloud computing"", ""aws"", ""exhaustion""]"
"2023-12-14","ML final done. Covered more advanced topics like ensemble methods and dimensionality reduction. Felt challenging but okay. Big Data exam focused on Spark and Hadoop ecosystem. Text Analytics was application-oriented. That's it! Semester 1 exams are finished! Unbelievable feeling of relief. Going out for a celebratory dinner with Rohan and Aoife tonight.","[""ucd"", ""exams"", ""final exams"", ""machine learning"", ""big data"", ""text analytics"", ""relief"", ""celebration"", ""friends"", ""rohan"", ""aoife""]"
"2023-12-18","Packed up, cleaned my room. Said temporary goodbyes. Heading to the airport. Excited to go home, see family, eat mum's food, speak my own language without thinking. Dublin, it's been intense. See you in January.","[""travel"", ""holidays"", ""home"", ""india"", ""family"", ""food"", ""excitement"", ""leaving dublin""]"
"2023-12-22","Home! The warmth, the noise, the smells – it's overwhelming in the best way. Hugged my parents so tight. Jet lag is hitting but don't care. Eating everything in sight. Catching up with cousins and friends. Feels surreal being back after navigating Dublin life.","[""home"", ""india"", ""family"", ""friends"", ""food"", ""culture shock"", ""relief"", ""happiness"", ""jet lag""]"
"2023-12-28","Relaxing at home. Trying not to think about UCD too much, but also need to choose Semester 2 modules soon. Options include Deep Learning, Generative AI, SQL, Data Science, Speech Processing... all sound interesting but demanding. Leaning towards DL, Gen AI, SQL, Data Science, and Speech. Seems like a heavy load but covers key areas.","[""holidays"", ""home"", ""relax"", ""ucd"", ""semester 2 modules"", ""planning"", ""deep learning"", ""generative ai"", ""sql"", ""data science"", ""speech processing""]"
"2024-01-02","Got Semester 1 results online. DS: C (Passed! Relief!), Cloud: A-, ML: B+, Big Data: B, Text Analytics: A-. Overall happy! The A- in Text Analytics was a pleasant surprise. The C in DS was expected but still a huge relief to have passed. Confirmed my Semester 2 module choices. Feeling motivated for the next term.","[""ucd"", ""results"", ""grades"", ""semester 1"", ""distributed systems"", ""relief"", ""cloud computing"", ""machine learning"", ""big data"", ""text analytics"", ""motivation"", ""semester 2 modules""]"
"2024-01-08","Last few days at home. Saying goodbye is hard. Stocked up on snacks and spices to take back. Feeling apprehensive about going back to the cold and the intensity, but also looking forward to the new modules, especially Gen AI. Promised Mom I'd call more often.","[""holidays"", ""home"", ""india"", ""family"", ""goodbyes"", ""sadness"", ""dublin"", ""ucd"", ""semester 2"", ""generative ai""]"
"2024-01-12","Back in Dublin. The grey skies welcomed me back. Unpacked, tried to make my room feel homely again. It's quiet compared to home. Met up with Rohan for coffee, good to catch up. He's excited about Deep Learning too. Need to get back into the study mindset.","[""dublin"", ""travel"", ""ucd"", ""semester 2"", ""routine"", ""friends"", ""rohan"", ""study""]"
"2024-01-16","Semester 2 lectures started. Deep Learning (DL) is diving straight into neural networks, activation functions, backpropagation. Professor seems good but expects a lot. Generative AI & Language Models (Gen AI) with Prof. Kavanagh is immediately engaging – talking about the history and potential. SQL is very practical, starting with basic queries. Data Science builds on ML. Speech & Audio Processing is fascinatingly different.","[""ucd"", ""semester 2"", ""lectures"", ""deep learning"", ""neural networks"", ""backpropagation"", ""generative ai"", ""language models"", ""sql"", ""data science"", ""speech processing"", ""excitement""]"
"2024-01-20","Trying to balance the new modules. DL requires strong calculus and linear algebra recall. Gen AI involves reading cutting-edge papers already. SQL labs are fun, getting hands-on with databases. Data Science assignment 1 released – data cleaning focus. Speech processing lab involved plotting waveforms in Python. Busy week.","[""ucd"", ""study load"", ""deep learning"", ""maths"", ""generative ai"", ""papers"", ""sql"", ""labs"", ""data science"", ""assignments"", ""speech processing"", ""python""]"
"2024-01-24","Got an email invite for a first-round interview! Data Analyst Intern role at a Dublin tech company. Mix of panic and excitement. Scheduled for next week. Need to seriously brush up on SQL, probability, stats, and basic Python coding. Rohan is helping me practice interview questions. He also applied for a few roles.","[""job search"", ""interview"", ""data analyst"", ""internship"", ""excitement"", ""stress"", ""preparation"", ""sql"", ""python"", ""probability"", ""rohan""]"
"2024-01-29","Weekend spent prepping for the interview and trying to keep up with DL concepts (gradient descent optimization). The interview is tomorrow morning. Feeling nervous. Tried to pick out a smart shirt. It's just a first round, trying not to put too much pressure on myself. Cooked a comforting dal, stress eating slightly.","[""job search"", ""interview"", ""preparation"", ""stress"", ""nervous"", ""ucd"", ""deep learning"", ""study"", ""food""]"
"2024-01-30","Had the interview (online). Technical part covered SQL joins, aggregations, a simple Python coding task (string manipulation), and a probability brain teaser. Then behavioural questions ('Why this company?', 'Teamwork example'). Felt I answered okay, maybe stumbled a bit on the probability one. Hard to read the interviewer. Now the waiting game. Back to Gen AI lecture – discussing Word Embeddings (Word2Vec). Fascinating stuff.","[""job search"", ""interview"", ""data analyst"", ""sql"", ""python"", ""probability"", ""behavioural questions"", ""waiting"", ""ucd"", ""generative ai"", ""word2vec""]"
"2024-02-03","Deep Learning assignment 1: Implement a simple neural network from scratch using NumPy to classify MNIST digits. Challenging but rewarding when it starts working. Debugging matrix multiplication dimensions is tricky. Gen AI readings on RNNs and LSTMs for sequence modeling. Complex but powerful. Still waiting to hear back about the interview. Trying not to check emails every 5 minutes.","[""ucd"", ""assignments"", ""deep learning"", ""neural networks"", ""numpy"", ""mnist"", ""debugging"", ""generative ai"", ""rnn"", ""lstm"", ""study"", ""job search"", ""waiting""]"
"2024-02-07","Rejection email arrived for the Data Analyst role. 'Very competitive... other candidates...' Standard stuff. Still feels rubbish. Talked to Aoife about it, she was encouraging. Need to just keep applying and learning. Focused on the SQL assignment – writing complex queries with subqueries and window functions. It's like solving puzzles.","[""job search"", ""rejection"", ""disappointment"", ""resilience"", ""friends"", ""aoife"", ""ucd"", ""sql"", ""assignments"", ""learning""]"
"2024-02-11","Data Science assignment submitted (data cleaning and exploration). Started working on the Speech & Audio lab – feature extraction (MFCCs). It's interesting applying signal processing concepts. Sent out another 5-6 internship applications. Tailoring cover letters takes time. Feeling a bit ground down by the cycle.","[""ucd"", ""assignments"", ""data science"", ""pandas"", ""speech processing"", ""mfcc"", ""labs"", ""job search"", ""applications"", ""cover letter"", ""fatigue""]"
"2024-02-15","Got an invite for an online coding assessment! Software Engineer Intern role at a big tech company. Need to practice LeetCode seriously now. Rohan shared his list of common topics (Arrays, Strings, HashMaps, Linked Lists, Trees). Feeling the pressure but also a flicker of hope. Gen AI lecture on Attention mechanism – blew my mind. Starting to see how these models get so powerful.","[""job search"", ""coding assessment"", ""software engineer"", ""internship"", ""leetcode"", ""preparation"", ""stress"", ""hope"", ""rohan"", ""ucd"", ""generative ai"", ""attention mechanism"", ""transformers""]"
"2024-02-19","Weekend spent grinding LeetCode problems. Focused on medium difficulty questions involving arrays and hash maps. It's tough but satisfying when you get the optimal solution. Also trying to keep up with Deep Learning lectures on Convolutional Neural Networks (CNNs). Visualising filters and pooling layers is key.","[""job search"", ""leetcode"", ""coding"", ""preparation"", ""software engineer"", ""ucd"", ""deep learning"", ""cnn"", ""study"", ""weekend""]"
"2024-02-22","Did the coding assessment. 90 minutes, 2 questions. One was a medium string manipulation problem, felt I solved it well. The other was a harder graph traversal problem, only managed a brute-force solution, couldn't optimize in time. Fingers crossed the first one is enough. Feeling mentally drained. Rewarded myself with pizza.","[""job search"", ""coding assessment"", ""leetcode"", ""software engineer"", ""stress"", ""performance"", ""waiting"", ""relief"", ""food""]"
"2024-02-26","Started thinking about the Gen AI project. Prof. Kavanagh encourages ambitious ideas. Considering fine-tuning a pre-trained language model like GPT-2 on a specific domain. Maybe UCD course descriptions, or Irish news headlines? Need to research feasibility and datasets. Discussed ideas with Rohan, he's thinking about something with image generation (StyleGAN maybe).","[""ucd"", ""generative ai"", ""project"", ""brainstorming"", ""gpt2"", ""fine-tuning"", ""language models"", ""research"", ""rohan"", ""stylegan""]"
"2024-02-29","Reading Week next week. Plan is to catch up on DL lectures, do more LeetCode practice, and maybe take one day completely off for a trip. Aoife suggested Glendalough. Need a break from screens. Still no word on the coding assessment result. The uncertainty is gnawing.","[""ucd"", ""reading week"", ""planning"", ""study"", ""deep learning"", ""leetcode"", ""job search"", ""travel"", ""glendalough"", ""aoife"", ""stress"", ""waiting""]"
"2024-03-04","Reading week Day 1. Forced myself to revise CNN architectures – LeNet, AlexNet, VGG. It's a lot to remember. Did a couple of LeetCode tree problems. Felt productive but also slightly burnt out already. Need that day trip.","[""ucd"", ""reading week"", ""study"", ""deep learning"", ""cnn"", ""leetcode"", ""trees"", ""burnout""]"
"2024-03-07","Trip to Glendalough with Aoife and a couple of her friends. Weather was surprisingly decent. The valley, the lakes, the monastic ruins – absolutely beautiful and peaceful. Exactly what I needed. Felt good to just walk, talk, and not think about code or models for a few hours. Took some nice pictures.","[""travel"", ""ireland"", ""glendalough"", ""wicklow"", ""nature"", ""history"", ""monastic site"", ""relax"", ""friends"", ""aoife"", ""photography"", ""reading week""]"
"2024-03-10","Passed the coding assessment! Email arrived this morning. Invited for a technical phone screen next week. Huge relief and excitement. Need to prepare talking through my thought process while coding. Also, bizarrely, got another interview invite today – Cloud Support Engineer Intern. Suddenly things are moving on the job front! Juggling prep for both now, plus regular coursework.","[""job search"", ""success"", ""coding assessment"", ""interview"", ""technical screen"", ""software engineer"", ""cloud support"", ""internship"", ""excitement"", ""relief"", ""stress"", ""preparation""]"
"2024-03-14","Prepping for the technical screen. Practicing explaining solutions out loud. Focusing on data structures (Trees, Graphs seem common). Also reviewing basic cloud concepts for the other interview. Deep Learning assignment 2 involves implementing a CNN for image classification (CIFAR-10). Using PyTorch this time. Steeper learning curve than NumPy but more powerful.","[""job search"", ""interview"", ""preparation"", ""technical screen"", ""data structures"", ""cloud computing"", ""ucd"", ""assignments"", ""deep learning"", ""cnn"", ""pytorch"", ""cifar10""]"
"2024-03-18","Had the technical phone screen for the SWE role. Shared coding environment, solved a problem related to finding paths in a matrix (DFS/BFS). Felt I communicated my approach reasonably well. Interviewer seemed engaged. Fingers crossed. Had the Cloud Support interview yesterday – more behavioural and scenario-based ('How would you handle an angry customer?', 'Troubleshoot a connectivity issue'). Felt that one went quite smoothly. More waiting now!","[""job search"", ""interview"", ""technical screen"", ""software engineer"", ""coding"", ""dfs"", ""bfs"", ""communication"", ""cloud support"", ""behavioural questions"", ""scenarios"", ""waiting""]"
"2024-03-22","Decided on my Gen AI project: Fine-tuning GPT-2 on UCD module descriptions to generate novel/creative descriptions. Found a dataset on the UCD website that I can scrape and clean. Seems challenging but very relevant to the course. Prof. Kavanagh seemed enthusiastic about the idea during office hours. Started setting up the Python environment (Hugging Face Transformers library).","[""ucd"", ""generative ai"", ""project"", ""gpt2"", ""fine-tuning"", ""language models"", ""ucd modules"", ""hugging face"", ""transformers"", ""python"", ""research"", ""coding""]"
"2024-03-26","Got an OFFER! For the Cloud Support Engineer Internship! Received the email this afternoon. Read it three times to be sure. Huge wave of relief washed over me. It's a well-known company, good experience, and it means I have *something* secured for the summer. Called parents, they were relieved too. Celebrated with Rohan and Aoife at the campus bar. A weight has definitely lifted.","[""job search"", ""offer"", ""internship"", ""cloud support"", ""success"", ""relief"", ""excitement"", ""celebration"", ""friends"", ""rohan"", ""aoife"", ""family""]"
"2024-03-30","Still waiting to hear back from the SWE final round invite after the phone screen. The Cloud offer makes the wait less agonizing, but the SWE role is still the one I'd prefer. Trying to focus on the Deep Learning CNN assignment, getting decent accuracy on CIFAR-10 now after tweaking hyperparameters. It's satisfying when the loss goes down.","[""job search"", ""waiting"", ""software engineer"", ""cloud support"", ""ucd"", ""assignments"", ""deep learning"", ""cnn"", ""pytorch"", ""cifar10"", ""hyperparameters""]"
"2024-04-03","Email arrived! Made it to the final round for the Software Engineer Intern role! It's a virtual 'on-site' loop – multiple interviews back-to-back covering coding, system design, and behavioural aspects. Scheduled in two weeks. Okay, deep breaths. This is the big one. Need to seriously prepare system design concepts now. How to scale websites? Database choices? Caching strategies? Feels like a huge step up.","[""job search"", ""interview"", ""final round"", ""on-site"", ""software engineer"", ""internship"", ""excitement"", ""stress"", ""preparation"", ""system design"", ""coding"", ""behavioural questions""]"
"2024-04-07","Weekend spent cramming System Design. Watched YouTube videos, read articles ('Grokking the System Design Interview' seems popular). It's fascinating but also vast. Trying to understand trade-offs. Also started working on the Gen AI project – data scraping and cleaning is tedious but crucial. Got a decent dataset of module descriptions now.","[""job search"", ""preparation"", ""system design"", ""study"", ""weekend"", ""ucd"", ""generative ai"", ""project"", ""data scraping"", ""data cleaning""]"
"2024-04-11","Data Science group project presentation today. We analyzed flight delay data and built a classification model. Went well, the team worked effectively together. Aoife did a great job presenting our findings. Feeling more comfortable with the end-to-end data science workflow now (cleaning, EDA, modeling, evaluation). SQL practical exam next week. Need to be quick with queries.","[""ucd"", ""data science"", ""project"", ""presentation"", ""group work"", ""aoife"", ""classification"", ""python"", ""scikit-learn"", ""pandas"", ""sql"", ""exam"", ""preparation""]"
"2024-04-15","SQL practical exam done. Had to write several complex queries against a sample database within a time limit. Felt confident about most of them. Final round SWE interviews tomorrow. Feeling incredibly nervous. Did some mock interviews with Rohan. Trying to stay calm and just do my best.","[""ucd"", ""sql"", ""exam"", ""database"", ""job search"", ""interview"", ""final round"", ""software engineer"", ""preparation"", ""nervous"", ""stress"", ""rohan""]"
"2024-04-16","Interview day. Four back-to-back virtual interviews. 2x Coding, 1x System Design, 1x Behavioural (with hiring manager). Coding rounds were medium/hard LeetCode style, felt okay on one, struggled slightly on the other but talked through my approach. System design was designing a basic URL shortener – discussed APIs, database schema, hashing, caching. Behavioural was standard. Brain completely fried afterwards. Exhausted. They said expect to hear back in a week or so.","[""job search"", ""interview"", ""final round"", ""software engineer"", ""coding"", ""leetcode"", ""system design"", ""url shortener"", ""behavioural questions"", ""exhaustion"", ""waiting""]"
"2024-04-19","Trying to distract myself while waiting for the SWE interview result. Deep dive into the Gen AI project. Set up the fine-tuning script using Hugging Face trainer. Started a small run on a subset of the data using UCD's computing resources (thankfully available!). Seeing the model generate slightly more coherent text is thrilling. Debugging CUDA errors is not.","[""job search"", ""waiting"", ""distraction"", ""ucd"", ""generative ai"", ""project"", ""gpt2"", ""fine-tuning"", ""hugging face"", ""coding"", ""cuda"", ""debugging""]"
"2024-04-23","Got the call. GOT THE OFFER! Software Engineer Intern! I actually yelled out loud when the recruiter told me. Unbelievable. It's my top choice company here in Dublin. The role sounds perfect. Called Mom and Dad immediately, they were overjoyed. Huge relief and happiness. Accepted the offer formally via email. Now need to politely withdraw from the Cloud Support role.","[""job search"", ""offer"", ""software engineer"", ""internship"", ""success"", ""excitement"", ""relief"", ""happiness"", ""celebration"", ""family"", ""dublin"", ""tech industry""]"
"2024-04-27","Officially accepted the SWE offer and withdrew from the other one. Felt a bit bad, but it was the right move. Celebrated properly with Rohan, Aoife, Kenji (who is preparing to leave soon) – went out for dinner. Feels amazing to have the job search over and to have landed a role I'm genuinely excited about. Now, can focus 100% on smashing the final exams and projects, especially making the Gen AI one really good.","[""job search"", ""offer accepted"", ""software engineer"", ""relief"", ""celebration"", ""friends"", ""rohan"", ""aoife"", ""kenji"", ""ucd"", ""focus"", ""generative ai"", ""project""]"
"2024-05-01","Final project work intensifying. Deep Learning project is implementing an image captioning model (CNN encoder, RNN decoder). Complex architecture, lots of moving parts in PyTorch. Speech & Audio project is building a basic speaker identification system using GMMs on MFCC features. Gen AI fine-tuning is running on the full dataset now, results look promising, generating quite creative (and sometimes funny) module descriptions. Need to start writing the reports soon.","[""ucd"", ""assignments"", ""projects"", ""deep learning"", ""image captioning"", ""cnn"", ""rnn"", ""pytorch"", ""speech processing"", ""speaker identification"", ""gmm"", ""mfcc"", ""generative ai"", ""gpt2"", ""fine-tuning"", ""report writing""]"
